"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","last.tweet","community","count.numbers","number"
"@nenshi The night is still young, but I think this should hold up: 0 (zero) kids #Beltline #yyckidcount",FALSE,0,"nenshi",2014-10-31 23:51:51,FALSE,"528332800282619905","528333561674596352","33798654","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cdlevesque",0,FALSE,FALSE,NA,NA,"528333561674596352","BELTLINE",1,0
"Up to 17 kids now in Auburn Bay.  New record!  #YYCkidcount",FALSE,0,NA,2014-11-01 00:33:05,FALSE,NA,"528343937078276096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hey_RobC",0,FALSE,FALSE,NA,NA,"528343937078276096","AUBURN BAY",1,17
"My #yyckidcount in #cranston is 30 so far. #yyc",FALSE,0,NA,2014-11-01 00:43:20,FALSE,NA,"528346515019137024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","calgaryrants",0,FALSE,FALSE,NA,NA,"528346515019137024","CRANSTON",1,30
"#yyckidcount Panorama Hills is 7 so far.",FALSE,0,NA,2014-11-01 00:44:08,FALSE,NA,"528346719570759680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dfordelight",0,FALSE,FALSE,NA,NA,"528346719570759680","PANORAMA HILLS",1,7
"@nenshi we've had about 40 kids so far in Deer Ridge #yyckidcount #Halloween",FALSE,0,"nenshi",2014-11-01 00:49:37,FALSE,NA,"528348098183983104","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimberinCalgary",0,FALSE,FALSE,NA,NA,"528348098183983104","DEER RIDGE",1,40
"RT @MarkHorejsi: @riverbendyyc We’ve had 10 in Rivercrest Close. #yyckidcount",FALSE,0,"MarkHorejsi",2014-11-01 00:52:37,FALSE,"528347993838481408","528348851208724480","27104862","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RiverbendYYC",0,FALSE,FALSE,NA,NA,"528348851208724480","RIVERBEND",1,10
"#yyckidcount up to 19 in Strathcona Park",FALSE,0,NA,2014-11-01 00:55:25,FALSE,NA,"528349558200619008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tim201200",0,FALSE,FALSE,NA,NA,"528349558200619008","STRATHCONA PARK",1,19
"Over 90 kids here in skyview ranch #yyckidcount",FALSE,0,NA,2014-11-01 00:57:25,FALSE,NA,"528350062972510209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minnarichardson",0,FALSE,FALSE,NA,NA,"528350062972510209","SKYVIEW RANCH",1,90
"Zero kids in highland park :( #yyckidcount",FALSE,0,NA,2014-11-01 00:58:50,FALSE,NA,"528350417864777728",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","juicya",0,FALSE,FALSE,NA,NA,"528350417864777728","HIGHLAND PARK",1,NA
"#yyckidcount - up to 16 or so in Mayland Heights. Haven't seen one Frozen character yet!!",FALSE,0,NA,2014-11-01 01:00:10,FALSE,NA,"528350751534645248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ebarbaric",0,FALSE,FALSE,NA,NA,"528350751534645248","MAYLAND HEIGHTS",1,16
"We have had at least 40 kids in Royal Oak  #yyckidcount",FALSE,0,NA,2014-11-01 01:00:20,FALSE,NA,"528350796380135424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KristenLawson_",0,FALSE,FALSE,NA,NA,"528350796380135424","ROYAL OAK",1,40
"Zero kids so far at our place in @BankviewCA #yyckidcount",FALSE,0,NA,2014-11-01 01:01:35,FALSE,NA,"528351111715897344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","poojathakore",0,FALSE,FALSE,NA,NA,"528351111715897344","BANKVIEW",1,NA
"63 in McKenzie Towne #yyckidcount",FALSE,0,NA,2014-11-01 01:07:37,FALSE,NA,"528352628993163265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CrystalTew2",0,FALSE,FALSE,NA,NA,"528352628993163265","MCKENZIE TOWNE",1,63
